ParName   Value   Gradient
recdev1(1984)      1.23344  5.33292e-07
recdev1(1985)     0.664815  -1.5346e-06
recdev1(1986)      1.00233 -6.53759e-06
recdev1(1987)     0.566275 -9.94397e-06
recdev1(1988)    -0.856148 -5.94445e-06
recdev1(1989)      -0.6041  9.74763e-06
recdev1(1990)    -0.744262    -6.69e-07
recdev1(1991)     0.310039 -4.55764e-06
recdev1(1992)     0.320078  3.06899e-06
recdev1(1993)     0.422638 -7.37124e-06
recdev1(1994)    -0.504093 -4.14674e-06
recdev1(1995)   -0.0753501  4.34565e-06
recdev1(1996)     0.358561  8.89432e-06
recdev1(1997)     0.171528  4.76633e-06
recdev1(1998)    -0.231585  4.02929e-06
recdev1(1999)    -0.963526  4.03639e-06
recdev1(2000)    -0.500434   5.4866e-06
recdev1(2001)     0.832998  4.93561e-07
recdev1(2002)    -0.315341 -8.05734e-07
recdev1(2003)     0.478122 -2.27776e-05
recdev1(2004)    0.0857584 -8.49328e-06
recdev1(2005)    -0.752237 -4.13646e-06
recdev1(2006)      -0.5653 -5.52493e-06
recdev1(2007)    -0.145243 -6.50274e-06
recdev1(2008)    -0.212547 -3.65023e-06
recdev1(2009)     0.436691  5.12919e-06
recdev1(2010)     -0.12206 -9.32581e-06
recdev1(2011)    -0.788399  6.46263e-06
recdev1(2012)    -0.110327  1.28419e-05
recdev1(2013)     -0.92522  4.15666e-06
recdev1(2014)     0.452838  1.55577e-05
recdev1(2015)   0.00613414  9.04806e-06
recdev1(2016)     0.244808   5.9471e-06
recdev1(2017)     0.829118 -2.50639e-06
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
F_rate[1]  0.000108555 -3.15502e-05
F_rate[2]  4.72324e-06 -0.000196745
F_rate[3]    0.0176245 -5.08333e-06
F_rate[4]  2.27875e-06  8.03139e-05
F_rate[5]    0.0719358  1.47214e-06
F_rate[6]     0.269951   2.0197e-07
F_rate[7]    0.0548775  1.74428e-06
F_rate[8]     0.010521  3.93394e-06
F_rate[9]     0.118071 -2.51945e-07
F_rate[10]     0.170922  1.81519e-06
F_rate[11]     0.360815 -2.10129e-06
F_rate[12]     0.509628  9.58294e-07
F_rate[13]     0.491191 -6.80872e-08
F_rate[14]     0.295681 -3.70572e-08
F_rate[15]      1.04403    5.594e-06
F_rate[16]     0.230593 -6.47201e-06
F_rate[17]            3   1.8503e-07
F_rate[18]     0.492329 -1.49401e-06
F_rate[19]      1.05807 -1.59891e-06
F_rate[20]       0.6563 -8.05695e-07
F_rate[21]      1.83985  1.19872e-06
F_rate[22]      0.85372 -2.28049e-06
F_rate[23]      1.70856  1.46783e-06
F_rate[24]     0.621222   2.6835e-07
F_rate[25]      1.12199  1.51531e-06
F_rate[26]     0.494244  1.62199e-06
F_rate[27]            3 -5.47595e-08
F_rate[28]     0.366468  3.30114e-06
F_rate[29]     0.100283 -2.31325e-06
F_rate[30]    0.0155533 -2.52894e-06
F_rate[31]      0.39901  8.78063e-07
F_rate[32]     0.271196 -7.30477e-06
F_rate[33]     0.686543   1.0934e-06
F_rate[34]      1.22751  1.77526e-07
F_rate[35]      2.43816  3.95119e-07
F_rate[36]     0.698699 -1.38431e-06
F_rate[37]            3 -1.63618e-07
F_rate[38]      1.26448 -3.00325e-07
F_rate[39]     0.598129  4.10712e-06
F_rate[40]     0.112782 -1.58066e-06
F_rate[41]      1.70283  1.55069e-06
F_rate[42]     0.621281 -5.87374e-07
F_rate[43]     0.138572 -5.98118e-06
F_rate[44]     0.421007 -1.47005e-06
F_rate[45]     0.331505  5.23411e-07
F_rate[46]     0.422833 -2.14224e-07
F_rate[47]      1.61873 -2.99289e-06
F_rate[48]     0.892979 -4.93627e-07
F_rate[49]            3 -1.65886e-07
F_rate[50]     0.902835  1.23409e-06
F_rate[51]     0.273328 -3.70727e-07
F_rate[52]     0.668699  3.30391e-06
F_rate[53]      1.55297 -2.21823e-06
F_rate[54]     0.253023 -5.37134e-08
F_rate[55]      1.23263  1.84683e-06
F_rate[56]     0.469402 -5.99802e-07
F_rate[57]     0.559227  -2.4487e-06
F_rate[58]       1.4407 -1.42887e-06
F_rate[59]     0.565422  9.05866e-07
F_rate[60]     0.712923 -3.45381e-07
F_rate[61]      1.08514  5.23597e-07
F_rate[62]      1.41491 -9.06627e-07
F_rate[63]     0.688376 -3.16391e-07
F_rate[64]     0.359685  9.80833e-07
F_rate[65]     0.169857  7.21105e-07
F_rate[66]    0.0901272  3.03724e-06
F_rate[67]     0.369786  1.94756e-06
F_rate[68]     0.111329  2.59938e-06
F_rate[69]   0.00618814  4.91297e-06
F_rate[70]   0.00517324  7.23155e-06
F_rate[71]    0.0158603  2.89335e-06
F_rate[72]    0.0259479  1.50234e-06
F_rate[73]    0.0549379  2.22122e-06
F_rate[74]    0.0256493  1.60446e-06
F_rate[75]     0.042707  1.43116e-06
F_rate[76]    0.0510342  2.10029e-07
F_rate[77]     0.071716  5.45657e-08
F_rate[78]    0.0418224 -7.60495e-07
F_rate[79]     0.214317 -2.73279e-06
F_rate[80]    0.0992798 -3.85331e-06
F_rate[81]      0.32094 -2.87739e-06
F_rate[82]    0.0117879 -2.07569e-05
F_rate[83]     0.802669 -8.79556e-07
F_rate[84]     0.097998 -4.35374e-07
F_rate[85]      1.96471  8.14122e-07
F_rate[86]     0.891803  1.40212e-06
F_rate[87]     0.816402  4.01917e-07
F_rate[88]     0.189172  -8.5388e-07
F_rate[89]     0.967499 -1.82736e-07
F_rate[90]     0.184843  3.12808e-06
F_rate[91]      1.26517 -2.56145e-06
F_rate[92]      0.10924  8.52264e-07
F_rate[93]     0.304685 -8.30541e-06
F_rate[94]    0.0780043  1.24984e-06
F_rate[95]      2.77187  3.68544e-07
F_rate[96]     0.249114 -6.18125e-07
F_rate[97]     0.239608  2.06854e-06
F_rate[98]   0.00879568  2.11846e-05
F_rate[99]     0.302223  4.15827e-06
